commune_code;commune;population_2020;departement_code;departement;region_code;region
57121;Burtoncourt;194;57;Moselle;44;Grand Est
57122;Cappel;700;57;Moselle;44;Grand Est
57123;Carling;3439;57;Moselle;44;Grand Est
57124;Cattenom;2694;57;Moselle;44;Grand Est
57125;Chailly-lès-Ennery;364;57;Moselle;44;Grand Est
57126;Chambrey;343;57;Moselle;44;Grand Est
57127;Chanville;126;57;Moselle;44;Grand Est
57128;Charleville-sous-Bois;319;57;Moselle;44;Grand Est
57129;Charly-Oradour;680;57;Moselle;44;Grand Est
57130;Château-Bréhain;76;57;Moselle;44;Grand Est
57131;Château-Rouge;294;57;Moselle;44;Grand Est
57132;Château-Salins;2453;57;Moselle;44;Grand Est
57133;Château-Voué;108;57;Moselle;44;Grand Est
57134;Châtel-Saint-Germain;1853;57;Moselle;44;Grand Est
57136;Chémery-les-Deux;557;57;Moselle;44;Grand Est
57137;Cheminot;773;57;Moselle;44;Grand Est
57138;Chenois;76;57;Moselle;44;Grand Est
57139;Chérisey;298;57;Moselle;44;Grand Est
57140;Chesny;603;57;Moselle;44;Grand Est
57141;Chicourt;95;57;Moselle;44;Grand Est
57142;Chieulles;417;57;Moselle;44;Grand Est
57143;Clouange;3602;57;Moselle;44;Grand Est
57144;Cocheren;3527;57;Moselle;44;Grand Est
57145;Coincy;307;57;Moselle;44;Grand Est
57146;Coin-lès-Cuvry;710;57;Moselle;44;Grand Est
57147;Coin-sur-Seille;338;57;Moselle;44;Grand Est
57148;Colligny-Maizery;579;57;Moselle;44;Grand Est
57149;Colmen;200;57;Moselle;44;Grand Est
57150;Condé-Northen;669;57;Moselle;44;Grand Est
57151;Conthil;170;57;Moselle;44;Grand Est
57152;Contz-les-Bains;509;57;Moselle;44;Grand Est
57153;Corny-sur-Moselle;2221;57;Moselle;44;Grand Est
57154;Coume;664;57;Moselle;44;Grand Est
57155;Courcelles-Chaussy;3092;57;Moselle;44;Grand Est
57156;Courcelles-sur-Nied;1198;57;Moselle;44;Grand Est
57158;Craincourt;258;57;Moselle;44;Grand Est
57159;Créhange;3918;57;Moselle;44;Grand Est
57160;Creutzwald;13189;57;Moselle;44;Grand Est
57161;Cutting;138;57;Moselle;44;Grand Est
57162;Cuvry;839;57;Moselle;44;Grand Est
57163;Dabo;2527;57;Moselle;44;Grand Est
57165;Dalem;624;57;Moselle;44;Grand Est
57166;Dalhain;112;57;Moselle;44;Grand Est
57167;Dalstein;354;57;Moselle;44;Grand Est
57168;Danne-et-Quatre-Vents;681;57;Moselle;44;Grand Est
57169;Dannelbourg;495;57;Moselle;44;Grand Est
57171;Delme;1119;57;Moselle;44;Grand Est
57172;Denting;270;57;Moselle;44;Grand Est
57173;Desseling;107;57;Moselle;44;Grand Est
57174;Destry;91;57;Moselle;44;Grand Est
57175;Diane-Capelle;223;57;Moselle;44;Grand Est
57176;Diebling;1656;57;Moselle;44;Grand Est
57177;Dieuze;2942;57;Moselle;44;Grand Est
57178;Diffembach-lès-Hellimer;357;57;Moselle;44;Grand Est
57179;Distroff;1745;57;Moselle;44;Grand Est
57180;Dolving;357;57;Moselle;44;Grand Est
57181;Domnom-lès-Dieuze;82;57;Moselle;44;Grand Est
57182;Donjeux;88;57;Moselle;44;Grand Est
57183;Donnelay;190;57;Moselle;44;Grand Est
57186;Ébersviller;941;57;Moselle;44;Grand Est
57187;Éblange;375;57;Moselle;44;Grand Est
57188;Éguelshardt;428;57;Moselle;44;Grand Est
57189;Eincheville;220;57;Moselle;44;Grand Est
57190;Elvange;382;57;Moselle;44;Grand Est
57191;Elzange;731;57;Moselle;44;Grand Est
57192;Enchenberg;1252;57;Moselle;44;Grand Est
57193;Ennery;2010;57;Moselle;44;Grand Est
57194;Entrange;1247;57;Moselle;44;Grand Est
57195;Epping;567;57;Moselle;44;Grand Est
57196;Erching;407;57;Moselle;44;Grand Est
57197;Ernestviller;501;57;Moselle;44;Grand Est
57198;Erstroff;199;57;Moselle;44;Grand Est
57199;Escherange;604;57;Moselle;44;Grand Est
57200;Les Étangs;400;57;Moselle;44;Grand Est
57201;Etting;756;57;Moselle;44;Grand Est
57202;Etzling;1195;57;Moselle;44;Grand Est
57203;Évrange;239;57;Moselle;44;Grand Est
57204;Failly;501;57;Moselle;44;Grand Est
57205;Falck;2480;57;Moselle;44;Grand Est
57206;Fameck;14010;57;Moselle;44;Grand Est
57207;Farébersviller;5519;57;Moselle;44;Grand Est
57208;Farschviller;1395;57;Moselle;44;Grand Est
57209;Faulquemont;5394;57;Moselle;44;Grand Est
57210;Fénétrange;718;57;Moselle;44;Grand Est
57211;Fèves;1074;57;Moselle;44;Grand Est
57212;Féy;743;57;Moselle;44;Grand Est
57213;Filstroff;780;57;Moselle;44;Grand Est
57214;Fixem;423;57;Moselle;44;Grand Est
57215;Flastroff;322;57;Moselle;44;Grand Est
57216;Fleisheim;152;57;Moselle;44;Grand Est
57217;Flétrange;947;57;Moselle;44;Grand Est
57218;Fleury;1179;57;Moselle;44;Grand Est
57219;Flévy;567;57;Moselle;44;Grand Est
57220;Flocourt;118;57;Moselle;44;Grand Est
